id,task_type,theme,poem_type,prompt,generated_poem,is_format_correct,num_sentences,char_counts,errors
T0016,theme_generation,白云,七言绝句,"请围绕主题“白云”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",白云长自在，飞去复飞来。却笑孤云意，无心到九垓。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0017,theme_generation,落日,五言绝句,"请围绕主题“落日”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",老树垂垂下，斜阳日日来。故园归未得，空上最高台。,True,4,"[5, 5, 5, 5]",[]
T0018,theme_generation,晚霞,七言绝句,"请围绕主题“晚霞”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",夕阳西下半江红，楼外青山夕照明。欲识此中真乐处，卷帘看尽水边亭。,True,4,"[7, 7, 7, 7]",[]
T0019,theme_generation,青山,五言绝句,"请围绕主题“青山”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",山色青于蓝，天容碧如洗。不须觅高人，但听松风起。,True,4,"[5, 5, 5, 5]",[]
T0020,theme_generation,流水,七言绝句,"请围绕主题“流水”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",一派春泉泻月来，苍崖石壁尽风雷。夜深惟有滩头鹭，独立汀洲叫不回。,True,4,"[7, 7, 7, 7]",[]
T0021,theme_generation,花开,五言绝句,"请围绕主题“花开”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",花开正红紫，人日已新阳。便觉春光别，风光满画堂。,True,4,"[5, 5, 5, 5]",[]
T0022,theme_generation,落花,七言绝句,"请围绕主题“落花”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",多情无奈落花开，独倚危阑意已灰。春去不知何处好，乱红吹上钓鱼台。,True,4,"[7, 7, 7, 7]",[]
T0023,theme_generation,杨柳,五言绝句,"请围绕主题“杨柳”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",莫道春归去，春归未肯休。柳条多少绿，一夜十分流。,True,4,"[5, 5, 5, 5]",[]
T0024,theme_generation,孤舟,七言绝句,"请围绕主题“孤舟”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",孤舟东下急，风紧欲吹翻。已作无期别，那知尚得还。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0025,theme_generation,飞鸟,五言绝句,"请围绕主题“飞鸟”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",高鸟出林翥，孤舟下濑浮。天寒江海阔，乡梦遶梁州。,True,4,"[5, 5, 5, 5]",[]
T0026,theme_generation,寒梅,七言绝句,"请围绕主题“寒梅”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",自是江皋物候早，腊前已有早梅花。江南江北如相问，篱落萧疏眼便花。,True,4,"[7, 7, 7, 7]",[]
T0027,theme_generation,竹林,五言绝句,"请围绕主题“竹林”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",我种竹数本，今复见孙枝。岁晚添新箨，犹堪助绿漪。,True,4,"[5, 5, 5, 5]",[]
T0028,theme_generation,松柏,七言绝句,"请围绕主题“松柏”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",岁寒松柏心，千古一青青。却见凌霜操，方知岁寒情。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0029,theme_generation,荷花,五言绝句,"请围绕主题“荷花”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",不著水仙鬟，自撑红玉椀。美人临风立，照影愁眉展。,True,4,"[5, 5, 5, 5]",[]
T0030,theme_generation,枫叶,七言绝句,"请围绕主题“枫叶”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",树色已平黄，秋风动地寒。夜深霜月白，照见一枝丹。。。。。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0031,theme_generation,思乡,五言绝句,"请围绕主题“思乡”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",一自汉家宫，年年玉漏长。何时逢明主，免使忆故乡。,True,4,"[5, 5, 5, 5]",[]
T0032,theme_generation,离别,七言绝句,"请围绕主题“离别”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",我住东城北，君居南浦滨。故交余几在，又作故乡人。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0033,theme_generation,相思,五言绝句,"请围绕主题“相思”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",明月似相忆，相逢不敢迟。夜凉终不寐，相伴到鸡啼。,True,4,"[5, 5, 5, 5]",[]
T0034,theme_generation,孤独,七言绝句,"请围绕主题“孤独”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",孤城夜来风，吹尽南枝雪。月出照前林，溪光亦无说。。。。。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0035,theme_generation,怀古,五言绝句,"请围绕主题“怀古”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",古来隠逸士，往往出山阿。却笑白云意，无心到薜萝。,True,4,"[5, 5, 5, 5]",[]
T0036,theme_generation,忧愁,七言绝句,"请围绕主题“忧愁”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",山云无定所，飘泊自东西。莫遣归心苦，秋风满鬓丝。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0037,theme_generation,喜悦,五言绝句,"请围绕主题“喜悦”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",喜笑因乘酒，悲啼不为歌。今朝乐有得，明日事如何。,True,4,"[5, 5, 5, 5]",[]
T0038,theme_generation,闲适,七言绝句,"请围绕主题“闲适”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",门外红尘卷，庭前青草多。雨余新笋出，风暖落花过。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0039,theme_generation,感怀,五言绝句,"请围绕主题“感怀”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",白发催人老，青春去我如。酒倾鹦鹉盏，花插鹿胎梳。,True,4,"[5, 5, 5, 5]",[]
T0040,theme_generation,伤春,七言绝句,"请围绕主题“伤春”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",日暮山花发，天寒食麦稀。客愁凭酒遣，老病著书痴。。)。)。)。),False,8,"[5, 5, 5, 5, 0, 0, 0, 0]","[""明显重复"", ""句数错误：期望 4 句，实际 8 句"", ""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字"", ""第 5 句字数错误：期望 7 字，实际 0 字"", ""第 6 句字数错误：期望 7 字，实际 0 字"", ""第 7 句字数错误：期望 7 字，实际 0 字"", ""第 8 句字数错误：期望 7 字，实际 0 字""]"
T0041,theme_generation,人生,五言绝句,"请围绕主题“人生”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",人生有穷达，富贵岂所求。且须饮美酒，行乐莫回头。,True,4,"[5, 5, 5, 5]",[]
T0042,theme_generation,时光,七言绝句,"请围绕主题“时光”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",道人归去乐如何，岁月悠悠度日多。不记当年曾到此，梅花依旧落谁家。,True,4,"[7, 7, 7, 7]",[]
T0043,theme_generation,梦想,五言绝句,"请围绕主题“梦想”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",梦里何曾到帝乡，觉来依旧客愁长。可怜春水无情物，,False,3,"[7, 7, 7]","[""句数错误：期望 4 句，实际 3 句"", ""第 1 句字数错误：期望 5 字，实际 7 字"", ""第 2 句字数错误：期望 5 字，实际 7 字"", ""第 3 句字数错误：期望 5 字，实际 7 字""]"
T0044,theme_generation,远方,七言绝句,"请围绕主题“远方”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",天末征鸿度，云间碧树遥。不知君去后，谁共听吹箫。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0045,theme_generation,归隐,五言绝句,"请围绕主题“归隐”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",幽人思谢病，野鹤久知还。何必沧浪去，兹山亦可闲。,True,4,"[5, 5, 5, 5]",[]
T0046,theme_generation,漂泊,七言绝句,"请围绕主题“漂泊”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",漂泊江南近十春，此行更欲向何门。清江一望不可得，白水苍山满眼昏。,True,4,"[7, 7, 7, 7]",[]
T0047,theme_generation,壮志,五言绝句,"请围绕主题“壮志”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",壮志犹堪战，残躯已不堪。若逢明圣主，更乞十年参。,True,4,"[5, 5, 5, 5]",[]
T0048,theme_generation,知己,七言绝句,"请围绕主题“知己”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",有客自南来，相思梦欲回。不知何处去，风雨暗江梅。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0049,theme_generation,故人,五言绝句,"请围绕主题“故人”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",莫问东陵瓜，不比金张贵。但摘香满头，莫摘花枝累。,True,4,"[5, 5, 5, 5]",[]
T0050,theme_generation,岁月,七言绝句,"请围绕主题“岁月”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",平生看世事，尽在鬓毛边。欲识兴亡意，梅花醉半眠。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0051,theme_generation,边塞,五言绝句,"请围绕主题“边塞”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",晓发汉宫望，青冥识羽林。谁云关外路，不见雁回心。,True,4,"[5, 5, 5, 5]",[]
T0052,theme_generation,田园,七言绝句,"请围绕主题“田园”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",雨过池塘水拍堤，晚风吹动小荷衣。斜阳不见人归路，隔岸鸳鸯各自飞。,True,4,"[7, 7, 7, 7]",[]
T0053,theme_generation,江南,五言绝句,"请围绕主题“江南”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",江天春水绿，两岸杏花红。舟檝如飞翼，春风二月中。,True,4,"[5, 5, 5, 5]",[]
T0054,theme_generation,长安,七言绝句,"请围绕主题“长安”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",朝游北海市，暮宿南山颠。何事东归人，纷纷在路边。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0055,theme_generation,古寺,五言绝句,"请围绕主题“古寺”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",古殿无人到，萧条两角垂。秋风满空巷，蝉噪月明时。,True,4,"[5, 5, 5, 5]",[]
T0056,theme_generation,夜雨,七言绝句,"请围绕主题“夜雨”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",风雨萧萧春欲归，小楼灯火自相依。梦魂不学杨花懒，特地从渠到枕扉。,True,4,"[7, 7, 7, 7]",[]
T0057,theme_generation,客栈,五言绝句,"请围绕主题“客栈”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",不假山僧力，天然有佛基。却缘求法客，翻作住庵时。,True,4,"[5, 5, 5, 5]",[]
T0058,theme_generation,渡口,七言绝句,"请围绕主题“渡口”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",落日千峰起，前村独树明。牛羊下遥陇，野水度寒声。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0059,theme_generation,山村,五言绝句,"请围绕主题“山村”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",路转溪声急，山深树影稠。人家在何处，烟水暮悠悠。,True,4,"[5, 5, 5, 5]",[]
T0060,theme_generation,渔家,七言绝句,"请围绕主题“渔家”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",竹径通幽处，溪流映浅沙。斜阳来远树，轻浪起汀葭。。。。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0061,theme_generation,美酒,五言绝句,"请围绕主题“美酒”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",春去日骀荡，愁来心旌纚。安得善鸣弦，为我写百感。,True,4,"[5, 5, 5, 5]",[]
T0062,theme_generation,琴声,七言绝句,"请围绕主题“琴声”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",玉轸金徽本自同，朱弦三叹发清风。欲知伯牙心不语，一寸孤桐七里嵩。,True,4,"[7, 7, 7, 7]",[]
T0063,theme_generation,书卷,五言绝句,"请围绕主题“书卷”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",读书破万卷，许国一杯羹。大似痴顽汉，胸中太古冰。,True,4,"[5, 5, 5, 5]",[]
T0064,theme_generation,灯火,七言绝句,"请围绕主题“灯火”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",寒窗灯火夜沉沉，一卷黄庭展素琴。忽闻风急雁南飞，遥想故园归信音。,True,4,"[7, 7, 7, 7]",[]
