id,task_type,theme,poem_type,prefix,references,prompt,generated_text,generated_char_level,references_char_level,BLEU-4,ROUGE-L,BLEU-4-%,ROUGE-L-%,error
P068,prefix_continuation,送别,下一句续写,千里黄云白日曛,"[""北风吹雁雪纷纷。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“千里黄云白日曛”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",寒雀争飞屋上檐,寒 雀 争 飞 屋 上 檐,"[""北 风 吹 雁 雪 纷 纷""]",0.0,0.0,0.0,0.0,
P067,prefix_continuation,送别,下一句续写,烟花三月下扬州,"[""孤帆远影碧空尽。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“烟花三月下扬州”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",水落溪声断复鸣,水 落 溪 声 断 复 鸣,"[""孤 帆 远 影 碧 空 尽""]",0.0,0.0,0.0,0.0,
P053,prefix_continuation,怀古,下一句续写,江流石不转,"[""遗恨失吞吴。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“江流石不转”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",山到平头犹,山 到 平 头 犹,"[""遗 恨 失 吞 吴""]",0.0,0.0,0.0,0.0,
P057,prefix_continuation,春望,下一句续写,江碧鸟逾白,"[""山青花欲燃。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“江碧鸟逾白”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",树高风啸暮,树 高 风 啸 暮,"[""山 青 花 欲 燃""]",0.0,0.0,0.0,0.0,
P034,prefix_continuation,旅夜,下一句续写,日暮客愁新,"[""野旷天低树。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“日暮客愁新”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",相思更不任。,相 思 更 不 任,"[""野 旷 天 低 树""]",0.0,0.0,0.0,0.0,
P031,prefix_continuation,月夜,下一句续写,床前明月光,"[""疑是地上霜。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“床前明月光”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",心印心传万,心 印 心 传 万,"[""疑 是 地 上 霜""]",0.0,0.0,0.0,0.0,
P069,prefix_continuation,送别,下一句续写,北风吹雁雪纷纷,"[""莫愁前路无知己。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“北风吹雁雪纷纷”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",独夜思君不语，,独 夜 思 君 不 语,"[""莫 愁 前 路 无 知 己""]",0.0,0.0,0.0,0.0,
P061,prefix_continuation,春景,下一句续写,一行白鹭上青天,"[""窗含西岭千秋雪。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“一行白鹭上青天”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",万树千花晓正妍,万 树 千 花 晓 正 妍,"[""窗 含 西 岭 千 秋 雪""]",0.033031643180138064,0.14285714285714285,3.3,14.29,
P073,prefix_continuation,边塞,下一句续写,秦时明月汉时关,"[""万里长征人未还。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“秦时明月汉时关”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",长亭短驿无人识,长 亭 短 驿 无 人 识,"[""万 里 长 征 人 未 还""]",0.039281465090051315,0.2857142857142857,3.93,28.57,
P027,prefix_continuation,江行,下一句续写,朝辞白帝彩云间,"[""千里江陵一日还。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“朝辞白帝彩云间”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",暮投参佐宿，,暮 投 参 佐 宿,"[""千 里 江 陵 一 日 还""]",0.0,0.0,0.0,0.0,
P060,prefix_continuation,春景,下一句续写,两个黄鹂鸣翠柳,"[""一行白鹭上青天。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“两个黄鹂鸣翠柳”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",一枝春水绿于染,一 枝 春 水 绿 于 染,"[""一 行 白 鹭 上 青 天""]",0.033031643180138064,0.14285714285714285,3.3,14.29,
P009,prefix_continuation,山村,下一句续写,山重水复疑无路,"[""柳暗花明又一村。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“山重水复疑无路”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",雨色青红半有无,雨 色 青 红 半 有 无,"[""柳 暗 花 明 又 一 村""]",0.0,0.0,0.0,0.0,
P022,prefix_continuation,秋山,下一句续写,空山新雨后,"[""天气晚来秋。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“空山新雨后”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",春入小窗来。,春 入 小 窗 来,"[""天 气 晚 来 秋""]",0.05372849659117709,0.20000000000000004,5.37,20.0,
P064,prefix_continuation,怀旧,下一句续写,崔九堂前几度闻,"[""正是江南好风景。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“崔九堂前几度闻”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",今朝再到已销魂。,今 朝 再 到 已 销 魂,"[""正 是 江 南 好 风 景""]",0.0,0.0,0.0,0.0,
P033,prefix_continuation,旅夜,下一句续写,移舟泊烟渚,"[""日暮客愁新。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“移舟泊烟渚”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",月落乌啼霜,月 落 乌 啼 霜,"[""日 暮 客 愁 新""]",0.0,0.0,0.0,0.0,
P085,prefix_continuation,秋山,下一句续写,白云生处有人家,"[""停车坐爱枫林晚。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“白云生处有人家”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",独坐小窗人语寂,独 坐 小 窗 人 语 寂,"[""停 车 坐 爱 枫 林 晚""]",0.033031643180138064,0.14285714285714285,3.3,14.29,
P038,prefix_continuation,相思,下一句续写,愿君多采撷,"[""此物最相思。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“愿君多采撷”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",莫叹去程赊。,莫 叹 去 程 赊,"[""此 物 最 相 思""]",0.0,0.0,0.0,0.0,
P045,prefix_continuation,春山,下一句续写,人闲桂花落,"[""夜静春山空。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“人闲桂花落”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",夜静春山空,夜 静 春 山 空,"[""夜 静 春 山 空""]",1.0,1.0,100.0,100.0,
P079,prefix_continuation,送别,下一句续写,寒雨连江夜入吴,"[""平明送客楚山孤。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“寒雨连江夜入吴”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",天寒梦断巴陵路,天 寒 梦 断 巴 陵 路,"[""平 明 送 客 楚 山 孤""]",0.0,0.0,0.0,0.0,
P099,prefix_continuation,思乡,下一句续写,钟山只隔数重山,"[""春风又绿江南岸。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“钟山只隔数重山”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",江水无情似有情,江 水 无 情 似 有 情,"[""春 风 又 绿 江 南 岸""]",0.033031643180138064,0.14285714285714285,3.3,14.29,
P051,prefix_continuation,怀古,下一句续写,功盖三分国,"[""名成八阵图。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“功盖三分国”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",名高八阵兵。,名 高 八 阵 兵,"[""名 成 八 阵 图""]",0.12574334296829354,0.6,12.57,60.0,
P063,prefix_continuation,怀旧,下一句续写,岐王宅里寻常见,"[""崔九堂前几度闻。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“岐王宅里寻常见”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",山寺楼台近，,山 寺 楼 台 近,"[""崔 九 堂 前 几 度 闻""]",0.0,0.0,0.0,0.0,
P046,prefix_continuation,春山,下一句续写,夜静春山空,"[""月出惊山鸟。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“夜静春山空”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",鸟啼花落人,鸟 啼 花 落 人,"[""月 出 惊 山 鸟""]",0.05372849659117709,0.20000000000000004,5.37,20.0,
P050,prefix_continuation,山林,下一句续写,但闻人语响,"[""返景入深林。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“但闻人语响”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",只闻人语响,只 闻 人 语 响,"[""返 景 入 深 林""]",0.0,0.0,0.0,0.0,
P048,prefix_continuation,山林,下一句续写,返景入深林,"[""复照青苔上。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“返景入深林”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",月斜归径转,月 斜 归 径 转,"[""复 照 青 苔 上""]",0.0,0.0,0.0,0.0,
